商品ｺｰﾄﾞ,商品名,売価,原価
12201001,YM-201A男子製造白衣冬型 長袖上衣  Ｓ,1500,1058
12201002,YM-201A男子製造白衣冬型 長袖上衣  Ｍ,1500,1058
12201003,YM-201A男子製造白衣冬型 長袖上衣  Ｌ,1500,1058
12201004,YM-201A男子製造白衣冬型 長袖上衣 LL,1500,1058
12201005,YM-201A男子製造白衣冬型 長袖上衣 3L,1500,1058
12201006,YM-201A男子製造白衣冬型 長袖上衣 4L,1500,1058
12201007,YM-201A男子製造白衣冬型 長袖上衣 5L,1500,1058
12201008,YM-201A男子製造白衣冬型 長袖上衣 6L,1500,1058
12201009,YM-201A男子製造白衣冬型 長袖上衣 7L,1500,1058
12202001,YM-202A男子製造白衣夏型 半袖上衣  Ｓ,1400,890
12202002,YM-202A男子製造白衣夏型 半袖上衣  Ｍ,1400,890
12202003,YM-202A男子製造白衣夏型 半袖上衣  Ｌ,1400,890
12202004,YM-202A男子製造白衣夏型 半袖上衣 LL,1400,890
12202005,YM-202A男子製造白衣夏型 半袖上衣 3L,1400,890
12202006,YM-202A男子製造白衣夏型 半袖上衣 4L,1400,890
12202007,YM-202A男子製造白衣夏型 半袖上衣 5L,1400,890
12202008,YM-202A男子製造白衣夏型 半袖上衣 6L,1400,890
12202009,YM-202A男子製造白衣夏型 半袖上衣 7L,1400,890
12203002,YM-203男子製造白衣下衣  2号,1400,973
12203004,YM-203男子製造白衣下衣  4号,1400,973
12203007,YM-203男子製造白衣下衣  7号,1400,973
12203009,YM-203男子製造白衣下衣  9号,1400,973
12203010,YM-203男子製造白衣下衣  10号,1400,973
12203011,YM-203男子製造白衣下衣  11号,1400,973
12203012,YM-203男子製造白衣下衣  12号,1400,973
12203013,YM-203男子製造白衣下衣  13号,1400,973
12203014,YM-203男子製造白衣下衣  14号,1400,973
12203015,YM-203男子製造白衣下衣  15号,1400,973
12204007,YL-204A女子製造白衣冬型長袖上衣 7号,1500,948
12204009,YL-204A女子製造白衣冬型長袖上衣 9号,1500,948
12204011,YL-204A女子製造白衣冬型長袖上衣 11号,1500,948
12204013,YL-204A女子製造白衣冬型長袖上衣 13号,1500,948
12204015,YL-204A女子製造白衣冬型長袖上衣 15号,1500,948
12204017,YL-204A女子製造白衣冬型長袖上衣 17号,1500,948
12204019,YL-204A女子製造白衣冬型長袖上衣 19号,1500,948
12204021,YL-204A女子製造白衣冬型長袖上衣 21号,1500,948
12204023,YL-204A女子製造白衣冬型長袖上衣 23号,1500,948
12204025,YL-204A女子製造白衣冬型長袖上衣 25号,1500,948
12205007,YL-205A女子製造白衣夏型半袖上衣 7号,1400,869
12205009,YL-205A女子製造白衣夏型半袖上衣 9号,1400,869
12205011,YL-205A女子製造白衣夏型半袖上衣 11号,1400,869
12205013,YL-205A女子製造白衣夏型半袖上衣 13号,1400,869
12205015,YL-205A女子製造白衣夏型半袖上衣 15号,1400,869
12205017,YL-205A女子製造白衣夏型半袖上衣 17号,1400,869
12205019,YL-205A女子製造白衣夏型半袖上衣 19号,1400,869
12205021,YL-205A女子製造白衣夏型半袖上衣 21号,1400,869
12205023,YL-205A女子製造白衣夏型半袖上衣 23号,1400,869
12205025,YL-205A女子製造白衣夏型半袖上衣 25号,1400,869
12206001,YL-206C 女子白衣下衣透け防止付 1号,1400,1103
12206002,YL-206C 女子白衣下衣透け防止付 2号,1400,1103
12206004,YL-206C 女子白衣下衣透け防止付 4号,1400,1103
12206005,YL-206C 女子白衣下衣透け防止付 5号,1400,1103
12206007,YL-206C 女子白衣下衣透け防止付 7号,1400,1103
12206008,YL-206C 女子白衣下衣透け防止付 8号,1400,1103
12206009,YL-206C 女子白衣下衣透け防止付 9号,1400,1103
12206010,YL-206C 女子白衣下衣透け防止付 10号,1400,1103
12206011,YL-206C 女子白衣下衣透け防止付 11号,1400,1103
12206012,YL-206C 女子白衣下衣透け防止付 12号,1400,1103
12206013,YL-206C 女子白衣下衣透け防止付 13号,1400,1103
12206014,YL-206C 女子白衣下衣透け防止付 14号,1400,1103
12206015,YL-206C 女子白衣下衣透け防止付 15号,1400,1103
12207000,YL-207A女子ｴﾌﾟﾛﾝ,850,485
19352720,YL-207Ｂ女子ｴﾌﾟﾛﾝ,850,480
12400000,男子胸付エプロン  Ｆ,550,338
12500000,男子胸付エプロン  Ｓ,550,338
12211001,YSW-221 製品管理服冬型上衣  Ｓ,3140,1760
12211002,YSW-221 製品管理服冬型上衣  Ｍ,3140,1760
12211003,YSW-221 製品管理服冬型上衣  Ｌ,3140,1760
12211004,YSW-221 製品管理服冬型上衣  ＬＬ,3140,1760
12211005,YSW-221 製品管理服冬型上衣  3Ｌ,3140,1760
12211006,YSW-221 製品管理服冬型上衣  4Ｌ,3140,1760
12211007,YSW-221 製品管理服冬型上衣  5Ｌ,3140,1760
12211008,YSW-221 製品管理服冬型上衣  6Ｌ,3140,1760
12212001,YSW-222 製品管理服冬型下衣  Ｓ,2540,1370
12212002,YSW-222 製品管理服冬型下衣  Ｍ,2540,1370
12212003,YSW-222 製品管理服冬型下衣  Ｌ,2540,1370
12212004,YSW-222 製品管理服冬型下衣  ＬＬ,2540,1370
12212005,YSW-222 製品管理服冬型下衣  3Ｌ,2540,1370
12212006,YSW-222 製品管理服冬型下衣  4Ｌ,2540,1370
12212007,YSW-222 製品管理服冬型下衣  5Ｌ,2540,1370
12212008,YSW-222 製品管理服冬型下衣  6Ｌ,2540,1370
12212009,YSW-222 製品管理服冬型下衣  7Ｌ,2540,1370
12221001,YSS-211 製品管理服夏型上衣  Ｓ,2240,1450
12221002,YSS-211 製品管理服夏型上衣  Ｍ,2240,1450
12221003,YSS-211 製品管理服夏型上衣  Ｌ,2240,1450
12221004,YSS-211 製品管理服夏型上衣  ＬＬ,2240,1450
12221005,YSS-211 製品管理服夏型上衣  3Ｌ,2240,1450
12221006,YSS-211 製品管理服夏型上衣  4Ｌ,2240,1450
12221007,YSS-211 製品管理服夏型上衣  5Ｌ,2240,1450
12221008,YSS-211 製品管理服夏型上衣  6Ｌ,2240,1450
12221201,YSS-211Ｂ 製品管理服夏型上衣  Ｓ,2240,1430
12221202,YSS-211Ｂ 製品管理服夏型上衣  Ｍ,2240,1430
12221203,YSS-211Ｂ 製品管理服夏型上衣  Ｌ,2240,1430
12221204,YSS-211Ｂ 製品管理服夏型上衣  ＬＬ,2240,1430
12221205,YSS-211Ｂ 製品管理服夏型上衣  3Ｌ,2240,1430
12221206,YSS-211Ｂ 製品管理服夏型上衣  4Ｌ,2240,1430
12221207,YSS-211Ｂ 製品管理服夏型上衣  5Ｌ,2240,1430
12221208,YSS-211Ｂ 製品管理服夏型上衣  6Ｌ,2240,1430
12222001,YSS-212 製品管理服夏型下衣  Ｓ,2280,1410
12222002,YSS-212 製品管理服夏型下衣  Ｍ,2280,1410
12222003,YSS-212 製品管理服夏型下衣  Ｌ,2280,1410
12222004,YSS-212 製品管理服夏型下衣  ＬＬ,2280,1410
12222005,YSS-212 製品管理服夏型下衣  3Ｌ,2280,1410
12222006,YSS-212 製品管理服夏型下衣  4Ｌ,2280,1410
12222007,YSS-212 製品管理服夏型下衣  5Ｌ,2280,1410
12222008,YSS-212 製品管理服夏型下衣  6Ｌ,2280,1410
12222009,YSS-212 製品管理服夏型下衣  7Ｌ,2280,1410
12300001,YKF-1工務服冬型上衣  Ｓ,3360,2400
12300002,YKF-1工務服冬型上衣  Ｍ,3360,2400
12300003,YKF-1工務服冬型上衣  Ｌ,3360,2400
12300004,YKF-1工務服冬型上衣  ＬＬ,3360,2400
12300005,YKF-1工務服冬型上衣  3Ｌ,3360,2400
12300006,YKF-1工務服冬型上衣  4Ｌ,3360,2400
12300007,YKF-1工務服冬型上衣  5Ｌ,3360,2400
12300008,YKF-1工務服冬型上衣  6Ｌ,3360,2400
12300009,YKF-1工務服冬型上衣  7Ｌ,3360,2400
12310001,YKF-2工務服冬型下衣  Ｓ,2580,2000
12310002,YKF-2工務服冬型下衣  Ｍ,2580,2000
12310003,YKF-2工務服冬型下衣  Ｌ,2580,2000
12310004,YKF-2工務服冬型下衣  ＬＬ,2580,2000
12310005,YKF-2工務服冬型下衣  3Ｌ,2580,2000
12310006,YKF-2工務服冬型下衣  4Ｌ,2580,2000
12310007,YKF-2工務服冬型下衣  5Ｌ,2580,2000
12310008,YKF-2工務服冬型下衣  6Ｌ,2580,2000
12310009,YKF-2工務服冬型下衣  7Ｌ,2580,2000
12100001,ＹＫＮ－１Ｂ工務服夏型上着【長袖】　　　Ｓ,3320,2680
12100002,ＹＫＮ－１Ｂ工務服夏型上着【長袖】　　　Ｍ,3320,2680
12100003,ＹＫＮ－１Ｂ工務服夏型上着【長袖】　　　Ｌ,3320,2680
12100004,ＹＫＮ－１Ｂ工務服夏型上着【長袖】　　　ＬＬ,3320,2680
12100005,ＹＫＮ－１Ｂ工務服夏型上着【長袖】　　　３Ｌ,3320,2680
12100006,ＹＫＮ－１Ｂ工務服夏型上着【長袖】　　　４Ｌ,3320,2680
12100007,ＹＫＮ－１Ｂ工務服夏型上着【長袖】　　　５Ｌ,3320,2680
12100008,ＹＫＮ－１Ｂ工務服夏型上着【長袖】　　　６Ｌ,3320,2680
12100009,ＹＫＮ－１Ｂ工務服夏型上着【長袖】　　　７Ｌ,3320,2680
12330001,YKN-2工務服夏型下衣  Ｓ,2370,1800
12330002,YKN-2工務服夏型下衣  Ｍ,2370,1800
12330003,YKN-2工務服夏型下衣  Ｌ,2370,1800
12330004,YKN-2工務服夏型下衣  ＬＬ,2370,1800
12330005,YKN-2工務服夏型下衣  3Ｌ,2370,1800
12330006,YKN-2工務服夏型下衣  4Ｌ,2370,1800
12330007,YKN-2工務服夏型下衣  5Ｌ,2370,1800
12330008,YKN-2工務服夏型下衣  6Ｌ,2370,1800
12330009,YKN-2工務服夏型下衣  7Ｌ,2370,1800
12340001,YZF-1資材服冬型上衣  Ｓ,3590,2670
12340002,YZF-1資材服冬型上衣  Ｍ,3590,2670
12340003,YZF-1資材服冬型上衣  Ｌ,3590,2670
12340004,YZF-1資材服冬型上衣  ＬＬ,3590,2670
12340005,YZF-1資材服冬型上衣  3Ｌ,3590,2670
12340006,YZF-1資材服冬型上衣  4Ｌ,3590,2670
12340007,YZF-1資材服冬型上衣  5Ｌ,3590,2670
12340008,YZF-1資材服冬型上衣  6Ｌ,3590,2670
12340009,YZF-1資材服冬型上衣  7Ｌ,3590,2670
12350001,YZF-2資材服冬型下衣  Ｓ,3050,2270
12350002,YZF-2資材服冬型下衣  Ｍ,3050,2270
12350003,YZF-2資材服冬型下衣  Ｌ,3050,2270
12350004,YZF-2資材服冬型下衣  ＬＬ,3050,2270
12350005,YZF-2資材服冬型下衣  3Ｌ,3050,2270
12350006,YZF-2資材服冬型下衣  4Ｌ,3050,2270
12350007,YZF-2資材服冬型下衣  5Ｌ,3050,2270
12350008,YZF-2資材服冬型下衣  6Ｌ,3050,2270
12350009,YZF-2資材服冬型下衣  7Ｌ,3050,2270
12360001,YZN-1資材服夏型上衣【半袖】  Ｓ,2670,2090
12360002,YZN-1資材服夏型上衣【半袖】  Ｍ,2670,2090
12360003,YZN-1資材服夏型上衣【半袖】  Ｌ,2670,2090
12360004,YZN-1資材服夏型上衣【半袖】  ＬＬ,2670,2090
12360005,YZN-1資材服夏型上衣【半袖】  3Ｌ,2670,2090
12360006,YZN-1資材服夏型上衣【半袖】  4Ｌ,2670,2090
12360007,YZN-1資材服夏型上衣【半袖】  5Ｌ,2670,2090
12360008,YZN-1資材服夏型上衣【半袖】  6Ｌ,2670,2090
12360009,YZN-1資材服夏型上衣【半袖】  7Ｌ,2670,2090
12370001,YZN-2資材服夏型下衣  Ｓ,2810,1980
12370002,YZN-2資材服夏型下衣  Ｍ,2810,1980
12370003,YZN-2資材服夏型下衣  Ｌ,2810,1980
12370004,YZN-2資材服夏型下衣  ＬＬ,2810,1980
12370005,YZN-2資材服夏型下衣  3Ｌ,2810,1980
12370006,YZN-2資材服夏型下衣  4Ｌ,2810,1980
12370007,YZN-2資材服夏型下衣  5Ｌ,2810,1980
12370008,YZN-2資材服夏型下衣  6Ｌ,2810,1980
12370009,YZN-2資材服夏型下衣  7Ｌ,2810,1980
18000011,SP152 白ﾒｯｼｭ八角帽子 線なし  Ｓ,560,407
18000012,SP152 白ﾒｯｼｭ八角帽子 線なし  Ｍ,560,407
18000013,SP152 白ﾒｯｼｭ八角帽子 線なし  Ｌ,560,407
18000014,SP152 白ﾒｯｼｭ八角帽子 線なし  ＬＬ,560,407
18000015,SP152 白ﾒｯｼｭ八角帽子 線なし  3Ｌ,560,407
18000021,SP152 白ﾒｯｼｭ八角帽子 黒1本  Ｓ,620,472
18000022,SP152 白ﾒｯｼｭ八角帽子 黒1本  Ｍ,620,472
18000023,SP152 白ﾒｯｼｭ八角帽子 黒1本  Ｌ,620,472
18000024,SP152 白ﾒｯｼｭ八角帽子 黒1本  ＬＬ,620,472
18000025,SP152 白ﾒｯｼｭ八角帽子 黒1本  3Ｌ,620,472
18000031,SP152 白ﾒｯｼｭ八角帽子 黒2本  Ｓ,680,537
18000032,SP152 白ﾒｯｼｭ八角帽子 黒2本  Ｍ,680,537
18000033,SP152 白ﾒｯｼｭ八角帽子 黒2本  Ｌ,680,537
18000034,SP152 白ﾒｯｼｭ八角帽子 黒2本  ＬＬ,680,537
18000035,SP152 白ﾒｯｼｭ八角帽子 黒2本  3Ｌ,680,537
18000041,SP152 白ﾒｯｼｭ八角帽子 赤1本  Ｓ,620,472
18000042,SP152 白ﾒｯｼｭ八角帽子 赤1本  Ｍ,620,472
18000043,SP152 白ﾒｯｼｭ八角帽子 赤1本  Ｌ,620,472
18000044,SP152 白ﾒｯｼｭ八角帽子 赤1本  ＬＬ,620,472
18000045,SP152 白ﾒｯｼｭ八角帽子 赤1本  3Ｌ,620,472
18000051,SP152 白ﾒｯｼｭ八角帽子 赤2本  Ｓ,680,537
18000052,SP152 白ﾒｯｼｭ八角帽子 赤2本  Ｍ,680,537
18000053,SP152 白ﾒｯｼｭ八角帽子 赤2本  Ｌ,680,537
18000054,SP152 白ﾒｯｼｭ八角帽子 赤2本  ＬＬ,680,537
18000055,SP152 白ﾒｯｼｭ八角帽子 赤2本  3Ｌ,680,537
18000071,SP152 白ﾒｯｼｭ八角帽子 赤太線  Ｓ,700,491
18000072,SP152 白ﾒｯｼｭ八角帽子 赤太線  Ｍ,700,491
18000073,SP152 白ﾒｯｼｭ八角帽子 赤太線  Ｌ,700,491
18000074,SP152 白ﾒｯｼｭ八角帽子 赤太線  ＬＬ,700,491
18000075,SP152 白ﾒｯｼｭ八角帽子 赤太線  3Ｌ,700,491
18000131,SP152 ｸﾞﾚｰﾒｯｼｭ帽子  Ｓ,560,390
18000132,SP152 ｸﾞﾚｰﾒｯｼｭ帽子  Ｍ,560,390
18000133,SP152 ｸﾞﾚｰﾒｯｼｭ帽子  Ｌ,560,390
18000134,SP152 ｸﾞﾚｰﾒｯｼｭ帽子  ＬＬ,560,390
18000135,SP152 ｸﾞﾚｰﾒｯｼｭ帽子  3Ｌ,560,390
18000141,SP152 ｸﾞﾚｰﾒｯｼｭ帽子 黒1本  Ｓ,620,455
18000142,SP152 ｸﾞﾚｰﾒｯｼｭ帽子 黒1本  Ｍ,620,455
18000143,SP152 ｸﾞﾚｰﾒｯｼｭ帽子 黒1本  Ｌ,620,455
18000144,SP152 ｸﾞﾚｰﾒｯｼｭ帽子 黒1本  ＬＬ,620,455
18000145,SP152 ｸﾞﾚｰﾒｯｼｭ帽子 黒1本  3Ｌ,620,455
18000151,SP152 ｸﾞﾚｰﾒｯｼｭ帽子 黒2本  Ｓ,680,520
18000152,SP152 ｸﾞﾚｰﾒｯｼｭ帽子 黒2本  Ｍ,680,520
18000153,SP152 ｸﾞﾚｰﾒｯｼｭ帽子 黒2本  Ｌ,680,520
18000154,SP152 ｸﾞﾚｰﾒｯｼｭ帽子 黒2本  ＬＬ,680,520
18000155,SP152 ｸﾞﾚｰﾒｯｼｭ帽子 黒2本  3Ｌ,680,520
18000161,SP152 ｸﾞﾚｰﾒｯｼｭ帽子 赤1本  Ｓ,620,455
18000162,SP152 ｸﾞﾚｰﾒｯｼｭ帽子 赤1本  Ｍ,620,455
18000163,SP152 ｸﾞﾚｰﾒｯｼｭ帽子 赤1本  Ｌ,620,455
18000164,SP152 ｸﾞﾚｰﾒｯｼｭ帽子 赤1本  ＬＬ,620,455
